parameter_set_id,ab_role,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,candidate_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,neighbor_count,neighbor_15s_median_of_medians_bps,neighbor_30s_median_of_medians_bps
FP1-EXP0004-C-169-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU4-FL93000,ROBUST_1,200,4,93000,12,6,681,5,1119,5,410,-47
FP1-EXP0004-C-170-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU4-FL185000,ROBUST_1,200,4,185000,3,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-171-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU8-FL0,ROBUST_1,200,8,0,9,7,-133,5,826,3,-133,826
FP1-EXP0004-C-172-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU8-FL6000,ROBUST_1,200,8,6000,9,7,-133,5,826,4,-133,826
FP1-EXP0004-C-173-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU8-FL30000,ROBUST_1,200,8,30000,9,7,-133,5,826,4,-116,389
FP1-EXP0004-C-174-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU8-FL93000,ROBUST_1,200,8,93000,6,5,410,4,-327,4,138,249
FP1-EXP0004-C-175-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU8-FL185000,ROBUST_1,200,8,185000,1,1,-569,1,-622,3,-569,-622
FP1-EXP0004-C-176-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU1-FL0,ROBUST_1,500,1,0,39,24,150,17,208,4,198,338
FP1-EXP0004-C-177-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU1-FL6000,ROBUST_1,500,1,6000,39,24,150,17,208,5,150,208
FP1-EXP0004-C-178-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU1-FL30000,ROBUST_1,500,1,30000,35,23,84,16,-70,5,150,22
FP1-EXP0004-C-179-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU1-FL93000,ROBUST_1,500,1,93000,15,10,636,8,526,5,636,526
FP1-EXP0004-C-180-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU1-FL185000,ROBUST_1,500,1,185000,3,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-181-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU2-FL0,ROBUST_1,500,2,0,38,23,387,17,208,5,387,208
FP1-EXP0004-C-182-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU2-FL6000,ROBUST_1,500,2,6000,37,23,387,17,208,6,203,208
FP1-EXP0004-C-183-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU2-FL30000,ROBUST_1,500,2,30000,34,21,150,15,22,6,150,115
FP1-EXP0004-C-184-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU2-FL93000,ROBUST_1,500,2,93000,15,10,636,8,526,6,636,526
FP1-EXP0004-C-185-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU2-FL185000,ROBUST_1,500,2,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-186-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU3-FL0,ROBUST_1,500,3,0,30,15,387,11,526,5,256,256
FP1-EXP0004-C-187-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU3-FL6000,ROBUST_1,500,3,6000,29,16,256,12,256,6,223,256
FP1-EXP0004-C-188-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU3-FL30000,ROBUST_1,500,3,30000,29,16,84,13,256,6,117,256
FP1-EXP0004-C-189-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU3-FL93000,ROBUST_1,500,3,93000,15,10,636,8,526,6,636,526
FP1-EXP0004-C-190-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU3-FL185000,ROBUST_1,500,3,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-191-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU4-FL0,ROBUST_1,500,4,0,26,12,78,11,-47,5,78,-47
FP1-EXP0004-C-192-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU4-FL6000,ROBUST_1,500,4,6000,24,12,78,11,-47,6,78,-47
FP1-EXP0004-C-193-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU4-FL30000,ROBUST_1,500,4,30000,24,12,-100,11,-47,6,-11,104
FP1-EXP0004-C-194-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU4-FL93000,ROBUST_1,500,4,93000,12,6,681,5,1119,6,523,239
FP1-EXP0004-C-195-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU4-FL185000,ROBUST_1,500,4,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-196-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU8-FL0,ROBUST_1,500,8,0,9,7,-133,5,826,4,-133,826
FP1-EXP0004-C-197-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU8-FL6000,ROBUST_1,500,8,6000,9,7,-133,5,826,5,-133,826
FP1-EXP0004-C-198-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU8-FL30000,ROBUST_1,500,8,30000,9,7,-133,5,826,5,-133,826
FP1-EXP0004-C-199-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU8-FL93000,ROBUST_1,500,8,93000,6,5,410,4,-327,5,410,-327
FP1-EXP0004-C-200-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU8-FL185000,ROBUST_1,500,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-201-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU1-FL0,ROBUST_1,800,1,0,36,21,150,13,517,4,150,517
FP1-EXP0004-C-202-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU1-FL6000,ROBUST_1,800,1,6000,36,21,150,13,517,5,150,517
FP1-EXP0004-C-203-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU1-FL30000,ROBUST_1,800,1,30000,34,22,84,15,22,5,150,517
FP1-EXP0004-C-204-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU1-FL93000,ROBUST_1,800,1,93000,15,10,636,8,526,5,546,526
FP1-EXP0004-C-205-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU1-FL185000,ROBUST_1,800,1,185000,3,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-206-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU2-FL0,ROBUST_1,800,2,0,35,20,150,12,517,5,209,517
FP1-EXP0004-C-207-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU2-FL6000,ROBUST_1,800,2,6000,34,20,150,12,517,6,170,386
FP1-EXP0004-C-208-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU2-FL30000,ROBUST_1,800,2,30000,33,21,150,14,22,6,150,386
FP1-EXP0004-C-209-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU2-FL93000,ROBUST_1,800,2,93000,15,10,636,8,526,6,591,526
FP1-EXP0004-C-210-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU2-FL185000,ROBUST_1,800,2,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-211-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU3-FL0,ROBUST_1,800,3,0,30,15,209,12,256,5,190,517
FP1-EXP0004-C-212-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU3-FL6000,ROBUST_1,800,3,6000,29,16,190,13,256,6,179,256
FP1-EXP0004-C-213-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU3-FL30000,ROBUST_1,800,3,30000,29,16,84,13,256,6,170,256
FP1-EXP0004-C-214-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU3-FL93000,ROBUST_1,800,3,93000,15,10,636,8,526,6,591,526
FP1-EXP0004-C-215-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU3-FL185000,ROBUST_1,800,3,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-216-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU4-FL0,ROBUST_1,800,4,0,26,12,78,11,-47,5,78,-47
FP1-EXP0004-C-217-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU4-FL6000,ROBUST_1,800,4,6000,24,12,78,11,-47,6,78,-47
FP1-EXP0004-C-218-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU4-FL30000,ROBUST_1,800,4,30000,24,12,-100,11,-47,6,81,104
FP1-EXP0004-C-219-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU4-FL93000,ROBUST_1,800,4,93000,12,6,681,5,1119,6,410,239
FP1-EXP0004-C-220-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU4-FL185000,ROBUST_1,800,4,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-221-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU8-FL0,ROBUST_1,800,8,0,9,7,-133,5,826,4,-27,826
FP1-EXP0004-C-222-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU8-FL6000,ROBUST_1,800,8,6000,9,7,-133,5,826,5,-133,826
FP1-EXP0004-C-223-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU8-FL30000,ROBUST_1,800,8,30000,9,7,-133,5,826,5,-100,826
FP1-EXP0004-C-224-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU8-FL93000,ROBUST_1,800,8,93000,6,5,410,4,-327,5,410,-327
FP1-EXP0004-C-225-ROBUST_1-R1500-T5-U9-PD2500-6500-RB800-BU8-FL185000,ROBUST_1,800,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-226-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU1-FL0,ROBUST_1,2300,1,0,23,12,483,9,587,4,359,556
FP1-EXP0004-C-227-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU1-FL6000,ROBUST_1,2300,1,6000,22,11,546,8,587,5,483,587
FP1-EXP0004-C-228-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU1-FL30000,ROBUST_1,2300,1,30000,20,11,546,7,826,5,546,526
FP1-EXP0004-C-229-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU1-FL93000,ROBUST_1,2300,1,93000,13,8,546,6,526,5,546,526
FP1-EXP0004-C-230-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU1-FL185000,ROBUST_1,2300,1,185000,3,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-231-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL0,ROBUST_1,2300,2,0,21,10,546,6,826,5,483,587
FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,ROBUST_1,2300,2,6000,19,9,741,5,1213,6,546,826
FP1-EXP0004-C-233-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL30000,ROBUST_1,2300,2,30000,18,9,636,5,826,6,546,676
FP1-EXP0004-C-234-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL93000,ROBUST_1,2300,2,93000,13,8,546,6,526,6,591,526
FP1-EXP0004-C-235-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL185000,ROBUST_1,2300,2,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-236-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU3-FL0,ROBUST_1,2300,3,0,18,7,636,5,826,5,483,526
FP1-EXP0004-C-237-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU3-FL6000,ROBUST_1,2300,3,6000,16,7,636,5,826,6,559,676
FP1-EXP0004-C-238-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU3-FL30000,ROBUST_1,2300,3,30000,16,7,636,5,826,6,514,526
FP1-EXP0004-C-239-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU3-FL93000,ROBUST_1,2300,3,93000,13,8,546,6,526,6,591,526
FP1-EXP0004-C-240-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU3-FL185000,ROBUST_1,2300,3,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-241-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU4-FL0,ROBUST_1,2300,4,0,16,6,483,6,-47,5,483,-47
FP1-EXP0004-C-242-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU4-FL6000,ROBUST_1,2300,4,6000,15,6,483,6,-47,6,483,-47
FP1-EXP0004-C-243-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU4-FL30000,ROBUST_1,2300,4,30000,15,6,483,6,-47,6,446,389
FP1-EXP0004-C-244-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU4-FL93000,ROBUST_1,2300,4,93000,12,6,410,5,929,6,446,-37
FP1-EXP0004-C-245-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU4-FL185000,ROBUST_1,2300,4,185000,3,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-246-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU8-FL0,ROBUST_1,2300,8,0,7,5,483,4,826,4,175,389
FP1-EXP0004-C-247-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU8-FL6000,ROBUST_1,2300,8,6000,7,5,483,4,826,5,483,826
FP1-EXP0004-C-248-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU8-FL30000,ROBUST_1,2300,8,30000,7,5,483,4,826,5,410,-47
FP1-EXP0004-C-249-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU8-FL93000,ROBUST_1,2300,8,93000,6,5,410,4,-327,5,410,-327
FP1-EXP0004-C-250-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU8-FL185000,ROBUST_1,2300,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-251-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU1-FL0,ROBUST_1,7300,1,0,9,6,173,5,526,4,173,249
FP1-EXP0004-C-252-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU1-FL6000,ROBUST_1,7300,1,6000,9,6,173,5,526,5,173,526
FP1-EXP0004-C-253-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU1-FL30000,ROBUST_1,7300,1,30000,7,5,173,4,-27,5,173,526
FP1-EXP0004-C-254-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU1-FL93000,ROBUST_1,7300,1,93000,5,3,636,2,-27,5,546,-27
FP1-EXP0004-C-255-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU1-FL185000,ROBUST_1,7300,1,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-256-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU2-FL0,ROBUST_1,7300,2,0,8,5,173,4,-27,5,173,526
FP1-EXP0004-C-257-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU2-FL6000,ROBUST_1,7300,2,6000,7,4,173,3,1213,6,173,526
FP1-EXP0004-C-258-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU2-FL30000,ROBUST_1,7300,2,30000,6,4,173,3,526,6,404,526
FP1-EXP0004-C-259-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU2-FL93000,ROBUST_1,7300,2,93000,5,3,636,2,-27,6,591,249
FP1-EXP0004-C-260-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU2-FL185000,ROBUST_1,7300,2,185000,1,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-261-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU3-FL0,ROBUST_1,7300,3,0,8,3,173,3,526,5,173,526
FP1-EXP0004-C-262-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU3-FL6000,ROBUST_1,7300,3,6000,6,3,173,3,526,6,173,526
FP1-EXP0004-C-263-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU3-FL30000,ROBUST_1,7300,3,30000,6,3,173,3,526,6,404,526
FP1-EXP0004-C-264-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU3-FL93000,ROBUST_1,7300,3,93000,5,3,636,2,-27,6,359,249
FP1-EXP0004-C-265-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU3-FL185000,ROBUST_1,7300,3,185000,1,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-266-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU4-FL0,ROBUST_1,7300,4,0,7,3,173,3,-47,5,173,-47
FP1-EXP0004-C-267-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU4-FL6000,ROBUST_1,7300,4,6000,6,3,173,3,-47,6,173,-47
FP1-EXP0004-C-268-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU4-FL30000,ROBUST_1,7300,4,30000,6,3,173,3,-47,6,173,-47
FP1-EXP0004-C-269-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU4-FL93000,ROBUST_1,7300,4,93000,5,2,173,1,-27,6,173,-47
FP1-EXP0004-C-270-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU4-FL185000,ROBUST_1,7300,4,185000,1,1,-569,1,-622,5,-569,-622
FP1-EXP0004-C-271-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU8-FL0,ROBUST_1,7300,8,0,3,2,-569,1,-622,4,173,-47
FP1-EXP0004-C-272-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU8-FL6000,ROBUST_1,7300,8,6000,3,2,-569,1,-622,5,-198,-334
FP1-EXP0004-C-273-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU8-FL30000,ROBUST_1,7300,8,30000,3,2,-569,1,-622,5,-198,-334
FP1-EXP0004-C-274-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU8-FL93000,ROBUST_1,7300,8,93000,3,2,-569,1,-622,5,-198,-474
FP1-EXP0004-C-275-ROBUST_1-R1500-T5-U9-PD2500-6500-RB7300-BU8-FL185000,ROBUST_1,7300,8,185000,1,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-276-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU1-FL0,ROBUST_1,20700,1,0,2,2,22,2,-83,3,22,-83
FP1-EXP0004-C-277-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU1-FL6000,ROBUST_1,20700,1,6000,2,2,22,2,-83,4,97,221
FP1-EXP0004-C-278-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU1-FL30000,ROBUST_1,20700,1,30000,2,2,22,2,-83,4,404,249
FP1-EXP0004-C-279-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU1-FL93000,ROBUST_1,20700,1,93000,1,1,636,1,526,4,636,-27
FP1-EXP0004-C-280-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU1-FL185000,ROBUST_1,20700,1,185000,0,0,,0,,3,33,-48
FP1-EXP0004-C-281-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU2-FL0,ROBUST_1,20700,2,0,2,2,22,2,-83,4,404,249
FP1-EXP0004-C-282-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU2-FL6000,ROBUST_1,20700,2,6000,1,1,1581,1,1213,5,173,526
FP1-EXP0004-C-283-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU2-FL30000,ROBUST_1,20700,2,30000,1,1,636,1,526,5,636,526
FP1-EXP0004-C-284-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU2-FL93000,ROBUST_1,20700,2,93000,1,1,636,1,526,5,636,526
FP1-EXP0004-C-285-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU2-FL185000,ROBUST_1,20700,2,185000,0,0,,0,,4,33,-48
FP1-EXP0004-C-286-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU3-FL0,ROBUST_1,20700,3,0,2,1,636,1,526,4,97,221
FP1-EXP0004-C-287-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU3-FL6000,ROBUST_1,20700,3,6000,1,1,636,1,526,5,636,526
FP1-EXP0004-C-288-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU3-FL30000,ROBUST_1,20700,3,30000,1,1,636,1,526,5,636,526
FP1-EXP0004-C-289-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU3-FL93000,ROBUST_1,20700,3,93000,1,1,636,1,526,5,636,526
FP1-EXP0004-C-290-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU3-FL185000,ROBUST_1,20700,3,185000,0,0,,0,,4,33,-48
FP1-EXP0004-C-291-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU4-FL0,ROBUST_1,20700,4,0,2,1,-220,1,-321,4,173,-47
FP1-EXP0004-C-292-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU4-FL6000,ROBUST_1,20700,4,6000,1,1,-220,1,-321,5,-23,-184
FP1-EXP0004-C-293-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU4-FL30000,ROBUST_1,20700,4,30000,1,1,-220,1,-321,5,173,-47
FP1-EXP0004-C-294-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU4-FL93000,ROBUST_1,20700,4,93000,1,0,,0,,5,173,-27
FP1-EXP0004-C-295-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU4-FL185000,ROBUST_1,20700,4,185000,0,0,,0,,4,-569,-622
FP1-EXP0004-C-296-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU8-FL0,ROBUST_1,20700,8,0,0,0,,0,,3,-394,-471
FP1-EXP0004-C-297-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU8-FL6000,ROBUST_1,20700,8,6000,0,0,,0,,4,-394,-471
FP1-EXP0004-C-298-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU8-FL30000,ROBUST_1,20700,8,30000,0,0,,0,,4,-394,-471
FP1-EXP0004-C-299-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU8-FL93000,ROBUST_1,20700,8,93000,0,0,,0,,4,-569,-622
FP1-EXP0004-C-300-ROBUST_1-R1500-T5-U9-PD2500-6500-RB20700-BU8-FL185000,ROBUST_1,20700,8,185000,0,0,,0,,3,-569,-622
FP1-EXP0004-C-301-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU1-FL0,ROBUST_2,200,1,0,57,38,247,25,468,3,238,41
FP1-EXP0004-C-302-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU1-FL6000,ROBUST_2,200,1,6000,55,36,238,23,468,4,165,42
FP1-EXP0004-C-303-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU1-FL30000,ROBUST_2,200,1,30000,41,26,84,21,22,4,179,245
FP1-EXP0004-C-304-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU1-FL93000,ROBUST_2,200,1,93000,18,12,636,10,477,4,360,249
FP1-EXP0004-C-305-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU1-FL185000,ROBUST_2,200,1,185000,4,2,-8438,2,-8072,3,-8438,-8072
FP1-EXP0004-C-306-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU2-FL0,ROBUST_2,200,2,0,52,32,247,24,41,4,247,265
FP1-EXP0004-C-307-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU2-FL6000,ROBUST_2,200,2,6000,50,31,247,23,63,5,238,63
FP1-EXP0004-C-308-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU2-FL30000,ROBUST_2,200,2,30000,39,24,120,20,22,5,120,63
FP1-EXP0004-C-309-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU2-FL93000,ROBUST_2,200,2,93000,18,12,636,10,477,5,636,477
FP1-EXP0004-C-310-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU2-FL185000,ROBUST_2,200,2,185000,4,2,-8438,2,-8072,4,-8438,-8072
FP1-EXP0004-C-311-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU3-FL0,ROBUST_2,200,3,0,37,23,377,16,504,4,251,380
FP1-EXP0004-C-312-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU3-FL6000,ROBUST_2,200,3,6000,35,22,377,16,504,5,247,504
FP1-EXP0004-C-313-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU3-FL30000,ROBUST_2,200,3,30000,32,20,120,17,504,5,120,477
FP1-EXP0004-C-314-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU3-FL93000,ROBUST_2,200,3,93000,17,12,636,10,477,5,636,477
FP1-EXP0004-C-315-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU3-FL185000,ROBUST_2,200,3,185000,4,2,-8438,2,-8072,4,-4503,-4347
FP1-EXP0004-C-316-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU4-FL0,ROBUST_2,200,4,0,29,15,120,12,620,4,120,562
FP1-EXP0004-C-317-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU4-FL6000,ROBUST_2,200,4,6000,27,15,120,12,620,5,120,620
FP1-EXP0004-C-318-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU4-FL30000,ROBUST_2,200,4,30000,25,14,78,12,620,5,120,620
FP1-EXP0004-C-319-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU4-FL93000,ROBUST_2,200,4,93000,13,7,790,6,929,5,250,477
FP1-EXP0004-C-320-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU4-FL185000,ROBUST_2,200,4,185000,3,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-321-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU8-FL0,ROBUST_2,200,8,0,10,8,-133,6,-338,3,-133,-338
FP1-EXP0004-C-322-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU8-FL6000,ROBUST_2,200,8,6000,10,8,-133,6,-338,4,-133,-338
FP1-EXP0004-C-323-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU8-FL30000,ROBUST_2,200,8,30000,9,8,-133,6,-338,4,-27,-332
FP1-EXP0004-C-324-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU8-FL93000,ROBUST_2,200,8,93000,7,6,250,5,-327,4,58,-332
FP1-EXP0004-C-325-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU8-FL185000,ROBUST_2,200,8,185000,1,1,-569,1,-622,3,-569,-622
FP1-EXP0004-C-326-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU1-FL0,ROBUST_2,500,1,0,52,31,84,24,22,4,117,114
FP1-EXP0004-C-327-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU1-FL6000,ROBUST_2,500,1,6000,50,29,84,22,22,5,84,63
FP1-EXP0004-C-328-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU1-FL30000,ROBUST_2,500,1,30000,40,25,84,20,-70,5,84,22
FP1-EXP0004-C-329-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU1-FL93000,ROBUST_2,500,1,93000,18,12,636,10,477,5,636,477
